lang,type,dimension,description
en,sector,cured-meats,Artisanal Russian cured meat products showcasing unique regional flavor profiles and traditional preservation techniques.
ru,sector,specialty-cheeses,"Ремесленные российские сыроделы, создающие отличительные сорта с уникальными региональными характеристиками и традиционными методами производства."
zh,sector,specialty-cheeses,俄罗斯手工奶酪制造商创造具有独特地区特色和传统生产方法的独特奶酪品种。
en,sector,specialty-cheeses,Artisanal Russian cheesemakers creating distinctive varieties with unique regional characteristics and traditional production methods.
ru,sector,wine,"Развивающееся российское винное производство из регионов, таких как Краснодар, демонстрирующее уникальный терруар и инновационные техники виноделия."
zh,sector,wine,来自克拉斯诺达尔等地区的新兴俄罗斯葡萄酒生产，展示独特风土和创新酿酒技术。
en,sector,wine,"Emerging Russian wine production from regions like Krasnodar, showcasing unique terroir and innovative winemaking techniques."
ru,signal,export-ready,"Бренды с продукцией, упаковкой и сертификатами, подготовленными для международных рынков."
zh,signal,export-ready,已为国际市场准备好产品、包装和认证的品牌。
en,signal,export-ready,"Brands with products, packaging, and certifications prepared for international markets."
ru,signal,franchise-ready,"Сервисные бренды с систематизированными операциями и поддерживающей инфраструктурой, подготовленные для расширения через франчайзинг."
zh,signal,franchise-ready,已开发出可复制的业务系统，具备详细操作手册和特许经营支持结构的品牌。
en,signal,franchise-ready,Service-based brands with systematized operations and support infrastructure prepared for franchising expansion.
ru,signal,investment-ready,"Бренды, которые прошли проверку и активно ищут капитальных партнеров для конкретных инициатив роста, приобретений или развития."
zh,signal,investment-ready,已准备好接受国际投资，具有明确的商业模式、管理架构和增长计划的品牌。
en,signal,investment-ready,"Brands that have been vetted and are actively seeking capital partners for specific growth initiatives, acquisitions, or developments."
ru,signal,rapid-growth,"Бренды, демонстрирующие значительное расширение бизнеса, увеличение присутствия на рынке и ускоренный рост доходов."
zh,signal,rapid-growth,展示显著业务扩张、增加市场存在感和加速收入增长的品牌。
en,signal,rapid-growth,"Brands demonstrating significant business expansion, increasing market presence, and accelerated revenue growth."
